process.b1.capacity,process.b2.capacity,process.b3.capacity,process.b4.capacity,property.price,property.product,property.winner,target
-1.224744871391589,-2.5817493729066534,0.36225576031361967,0.8373066530890839,-1.5501030970675334,-1.2485311268800103,-0.42840815347023825,0
-1.224744871391589,-2.5817493729066534,0.36225576031361967,0.8373066530890839,-1.5501030970675334,-0.694140974257567,-0.42840815347023825,0
-1.224744871391589,-2.5817493729066534,0.36225576031361967,0.8373066530890839,-1.5501030970675334,0.41463933098731937,-0.42840815347023825,0
-1.224744871391589,-2.5817493729066534,0.36225576031361967,0.8373066530890839,-1.5501030970675334,1.5234196362322059,-0.42840815347023825,0
-1.224744871391589,-2.5817493729066534,0.36225576031361967,0.8373066530890839,-1.4258296352573472,-1.2485311268800103,-0.42840815347023825,1
-1.224744871391589,-2.5817493729066534,0.36225576031361967,0.8373066530890839,-1.4258296352573472,-1.2485311268800103,2.3949397740771707,1
-1.224744871391589,-2.5817493729066534,0.36225576031361967,0.8373066530890839,-1.4258296352573472,-1.2485311268800103,3.336055749926307,0
-1.224744871391589,-2.5817493729066534,0.36225576031361967,0.8373066530890839,-1.4258296352573472,-0.694140974257567,-0.42840815347023825,1
-1.224744871391589,-2.5817493729066534,0.36225576031361967,0.8373066530890839,-1.4258296352573472,-0.694140974257567,2.3949397740771707,1
-1.224744871391589,-2.5817493729066534,0.36225576031361967,0.8373066530890839,-1.4258296352573472,-0.694140974257567,3.336055749926307,0
-1.224744871391589,-2.5817493729066534,0.36225576031361967,0.8373066530890839,-1.4258296352573472,0.41463933098731937,-0.42840815347023825,1
-1.224744871391589,-2.5817493729066534,0.36225576031361967,0.8373066530890839,-1.4258296352573472,0.41463933098731937,2.3949397740771707,1
-1.224744871391589,-2.5817493729066534,0.36225576031361967,0.8373066530890839,-1.4258296352573472,0.41463933098731937,3.336055749926307,0
-1.224744871391589,-2.5817493729066534,0.36225576031361967,0.8373066530890839,-1.4258296352573472,1.5234196362322059,-0.42840815347023825,1
-1.224744871391589,-2.5817493729066534,0.36225576031361967,0.8373066530890839,-1.4258296352573472,1.5234196362322059,2.3949397740771707,1
-1.224744871391589,-2.5817493729066534,0.36225576031361967,0.8373066530890839,-1.4258296352573472,1.5234196362322059,3.336055749926307,1
